voyage_id,vessel_name,arrival_port,cargo_volume_teu,days_in_port,demurrage_costs_usd,fuel_consumed_mt,co2_emissions_mt,cii_rating
V-2026-001,Maersk Camacari,Apapa,4341,6,3500,234.312125206885,729.6479578942399,B
V-2026-002,Maersk Herrera,Luanda,7516,4,0,162.8589210082004,507.14268001953604,A
V-2026-003,Maersk Hangzhou,Apapa,4955,11,21000,466.5071247001735,1452.7031863163402,D
V-2026-004,Maersk Herrera,Tin Can Island,3024,5,0,213.3597426554286,664.4022386290046,B
V-2026-005,Maersk Herrera,Apapa,8125,14,31500,605.190649262737,1884.563681804163,E
V-2026-006,Maersk Mc-Kinney,Apapa,5450,12,24500,509.3053988331958,1585.9770119665716,D
V-2026-007,Maersk Hangzhou,Apapa,6631,17,42000,710.7767026064746,2213.358651916562,E
V-2026-008,Maersk Hangzhou,Apapa,7280,14,31500,523.2509059809457,1629.403321224665,E
V-2026-009,Maersk Hangzhou,Tin Can Island,6615,14,31500,546.0312050020835,1700.341172376488,E
V-2026-010,Maersk Herrera,Tin Can Island,4868,14,31500,556.8800847232319,1734.124583828144,E
V-2026-011,Maersk Camacari,Tin Can Island,6347,6,3500,214.97347930160126,669.4274145451863,B
V-2026-012,Maersk Hangzhou,Apapa,6995,7,7000,281.9859084908046,878.1041190403655,C
V-2026-013,Maersk Herrera,Apapa,5201,13,28000,511.72365810885225,1593.507471350966,D
V-2026-014,Maersk Mc-Kinney,Apapa,3471,11,21000,473.23201739294075,1473.6445021616175,D
V-2026-015,Maersk Camacari,Apapa,3666,8,10500,358.23205350034164,1115.5346146000638,C
V-2026-016,Maersk Mc-Kinney,Tin Can Island,7711,14,31500,567.8407054099619,1768.2559566466211,E
V-2026-017,Maersk Camacari,Tin Can Island,7429,9,14000,344.04177494498254,1071.3460871786756,C
V-2026-018,Maersk Herrera,Apapa,8419,6,3500,212.60404699789035,662.0490023514305,B
V-2026-019,Maersk Mc-Kinney Moller,Apapa,5274,17,42000,752.1893661380112,2342.3176861537668,E
V-2026-020,Maersk Camacari,Apapa,4482,15,35000,662.867357291799,2064.168950606662,E
V-2026-021,Maersk Mc-Kinney,Tin Can Island,3353,17,42000,638.008328558171,1986.7579351301445,E
V-2026-022,Maersk Herrera,Tema,6646,5,0,209.77055615533237,653.225511867705,B
V-2026-023,Maersk Camacari,Apapa,6236,8,10500,286.0347637671815,890.7122543710032,C
V-2026-024,Maersk Mc-Kinney Moller,Luanda,6269,2,0,73.32430863818506,228.33189709930826,A
V-2026-025,Maersk Mc-Kinney Moller,Apapa,3074,9,14000,334.51281959278424,1041.67292021193,C
V-2026-026,Maersk Hangzhou,Luanda,5761,2,0,75.88987893678859,236.32108300915965,A
V-2026-027,Maersk Hangzhou,Tin Can Island,3648,13,28000,584.4580787538182,1820.0024572393897,D
V-2026-028,Maersk Mc-Kinney,Apapa,4215,8,10500,335.7540044691052,1045.5379699167936,C
V-2026-029,Maersk Camacari,Apapa,7277,14,31500,543.7882563930908,1693.3566304080848,E
V-2026-030,Maersk Camacari,Tin Can Island,7433,9,14000,381.3390635258718,1187.4898438195646,C
V-2026-031,Maersk Hangzhou,Tin Can Island,6354,13,28000,573.9830644169838,1787.3832625944874,D
V-2026-032,Maersk Camacari,Tin Can Island,7673,12,24500,535.0442888889415,1666.127915600164,D
V-2026-033,Maersk Camacari,Tin Can Island,4991,7,7000,249.0504728430395,775.543172433225,C
V-2026-034,Maersk Mc-Kinney Moller,Tin Can Island,5160,5,0,194.7260899304065,606.3770440432858,B
V-2026-035,Maersk Hangzhou,Tin Can Island,5624,7,7000,252.47292461551194,786.2006872527041,C
V-2026-036,Maersk Herrera,Apapa,8191,8,10500,306.852805183757,955.5396353422193,C
V-2026-037,Maersk Hangzhou,Apapa,5551,6,3500,220.18079423373393,685.6429932438474,B
V-2026-038,Maersk Herrera,Apapa,2504,5,0,207.3424180834362,645.6642899118203,B
V-2026-039,Maersk Mc-Kinney Moller,Tema,7722,4,0,155.5307353595949,484.3227099097785,A
V-2026-040,Maersk Mc-Kinney,Tin Can Island,7815,12,24500,447.527369484594,1393.6002285750255,D
V-2026-041,Maersk Camacari,Luanda,7369,4,0,150.63751699856957,469.08522793354564,A
V-2026-042,Maersk Mc-Kinney Moller,Apapa,3376,9,14000,347.43105856847416,1081.9003163822285,C
V-2026-043,Maersk Camacari,Tema,3491,5,0,187.99749314271313,585.4241936464086,B
V-2026-044,Maersk Mc-Kinney,Tema,6642,2,0,79.06481693657662,246.20783994049958,A
V-2026-045,Maersk Mc-Kinney,Apapa,6864,11,21000,388.5547546220616,1209.9595058930997,D
V-2026-046,Maersk Mc-Kinney Moller,Tin Can Island,6965,17,42000,642.5597962187207,2000.9312054250963,E
V-2026-047,Maersk Mc-Kinney,Tin Can Island,3135,11,21000,430.23273929594046,1339.7447501675585,D
V-2026-048,Maersk Herrera,Luanda,7725,2,0,82.05563764046597,255.52125561241104,A
V-2026-049,Maersk Mc-Kinney,Apapa,4193,7,7000,263.9670349760591,821.993346915448,C
V-2026-050,Maersk Camacari,Apapa,4182,13,28000,472.31406627908746,1470.7860023930782,D
V-2026-051,Maersk Camacari,Tema,7252,3,0,107.2860113879749,334.0886394621538,A
V-2026-052,Maersk Camacari,Tema,2619,2,0,88.81063654270767,276.55632219399166,A
V-2026-053,Maersk Camacari,Apapa,3330,5,0,195.83195288692394,609.8207012898812,B
V-2026-054,Maersk Herrera,Apapa,8406,8,10500,326.4930096944661,1016.6992321885673,C
V-2026-055,Maersk Hangzhou,Luanda,6175,5,0,220.95882759177798,688.0657891207966,B
V-2026-056,Maersk Mc-Kinney Moller,Apapa,7677,13,28000,465.7572946045898,1450.3682153986927,D
V-2026-057,Maersk Camacari,Tin Can Island,3869,10,17500,437.66614859257925,1362.8923867172916,D
V-2026-058,Maersk Mc-Kinney,Tema,3240,2,0,81.0317574508814,252.33289270204466,A
V-2026-059,Maersk Camacari,Tin Can Island,2616,15,35000,549.7251391705502,1711.844083377093,E
V-2026-060,Maersk Mc-Kinney,Tema,8449,4,0,156.45020466341475,487.1859373218735,A
V-2026-061,Maersk Mc-Kinney,Apapa,5338,5,0,213.8801141867613,666.0226755775747,B
V-2026-062,Maersk Camacari,Tin Can Island,3650,8,10500,318.42960654930835,991.5897947945462,C
V-2026-063,Maersk Herrera,Tin Can Island,4431,16,38500,717.6457681064807,2234.748921883581,E
V-2026-064,Maersk Mc-Kinney,Apapa,3512,17,42000,659.04562488945,2052.268075905747,E
V-2026-065,Maersk Mc-Kinney,Apapa,4164,13,28000,552.4451789968894,1720.3142873963134,D
V-2026-066,Maersk Camacari,Luanda,3581,4,0,155.71957795915438,484.91076576480674,A
V-2026-067,Maersk Mc-Kinney,Tin Can Island,7229,16,38500,692.6662753130423,2156.9627813248135,E
V-2026-068,Maersk Mc-Kinney,Apapa,3012,13,28000,528.9805909915473,1647.245560347678,D
V-2026-069,Maersk Camacari,Luanda,5349,4,0,142.54047318360006,443.8710334937306,A
V-2026-070,Maersk Camacari,Luanda,7715,5,0,176.84109338179957,550.6831647909238,B
V-2026-071,Maersk Mc-Kinney Moller,Tin Can Island,7737,8,10500,290.70816950405066,905.2652398356137,C
V-2026-072,Maersk Herrera,Luanda,3059,4,0,140.5468785930799,437.66297993885075,A
V-2026-073,Maersk Herrera,Apapa,6172,14,31500,500.5502684493447,1558.7135359512592,E
V-2026-074,Maersk Mc-Kinney,Apapa,7083,9,14000,377.2542957452021,1174.7698769505594,C
V-2026-075,Maersk Herrera,Tema,7492,2,0,80.68692550058927,251.25908600883497,A
V-2026-076,Maersk Mc-Kinney,Tema,5843,4,0,169.99642997879886,529.3688829539797,A
V-2026-077,Maersk Mc-Kinney Moller,Luanda,7808,5,0,220.65828761288216,687.129907626515,B
V-2026-078,Maersk Camacari,Tin Can Island,6570,13,28000,531.0694392023113,1653.7502336759974,D
V-2026-079,Maersk Camacari,Luanda,7299,5,0,211.30604220359237,658.0070154219866,B
V-2026-080,Maersk Camacari,Luanda,3970,4,0,170.28324808169825,530.2620345264083,A
V-2026-081,Maersk Herrera,Luanda,3080,2,0,77.55701098551573,241.51253220889598,A
V-2026-082,Maersk Mc-Kinney Moller,Tema,4794,5,0,187.0542416164816,582.4869083937236,B
V-2026-083,Maersk Herrera,Tin Can Island,5647,9,14000,333.4540795655872,1038.3760037672387,C
V-2026-084,Maersk Herrera,Tin Can Island,6749,11,21000,412.6586683462978,1285.0190932303713,D
V-2026-085,Maersk Mc-Kinney Moller,Apapa,4179,13,28000,490.71513361336815,1528.0869260720283,D
V-2026-086,Maersk Mc-Kinney Moller,Luanda,6006,4,0,148.28910596032225,461.77227596044344,A
V-2026-087,Maersk Mc-Kinney Moller,Luanda,7592,2,0,87.56441334958384,272.67558317060406,A
V-2026-088,Maersk Mc-Kinney Moller,Apapa,5244,9,14000,383.12992189550056,1193.0665767825888,C
V-2026-089,Maersk Camacari,Apapa,5856,14,31500,496.56550549077076,1546.30498409826,E
V-2026-090,Maersk Hangzhou,Tin Can Island,6545,14,31500,527.6141474835431,1642.9904552637531,E
V-2026-091,Maersk Hangzhou,Tin Can Island,3743,11,21000,387.44032162333315,1206.4891615350593,D
